last_price,ask,ask_size,bid,bid_size
906.4,907,8.11,906.5,1.34813444
906.4,907.18,3.77986878,906.8,6.602
906.4,907.1,4.678424,907,5.23605708
906.4,907.1,4.678424,907,5.23605708
906.4,907.09,2.77986878,907,5.23605708
906.4,907.09,2.77986878,907,5.23605708
906.4,907.09,2.77986878,907,5.23605708
907.2,907.5,8.13569822,907.1,7.54930176
907.2,907.5,8.13569822,907.3,11.23869944
907.4,907.66,0.2,907.4,0.72998368
907.4,907.66,6.803937,907.6,1.00527446
907.9,908.23,0.05,907.8,6.6033
907.9,908.23,0.05,908.1,7.40072306
908.1,908.1,0.05,906.6,6.6007
908.1,908.1,0.05,907.1,2.71809171
908.1,907.9,1.24,906.6,6.5885
908.1,907.7,1.729,906.9,1.35219039
908.1,907.7,9.2,907.23,9.73
908.1,907.7,8.5261,907.34,6.6041
907.4,907.9,8.5261,907.61,6.596
907.4,907.9,8.5261,907.81,9.73
907.81,907.78,1.337,906.7,1.374
907.81,907.5,0.25,907.1,6.6102
907.49,916.32,8.5261,914.15,6.5931
907.6,907.5,6.5942,907,1.33504475
907.2,907.9,8.5261,907.4,6.6001
907.2,907.9,8.5261,907.7,1.27983568
907.2,907.9,8.5261,907.7,1.27983568
907.2,907.9,8.5261,907.7,1.27983568
907.2,907.9,8.5261,907.7,1.27983568
907.8,908.2,1.342,907,1.372
907.8,908.2,0.05,907.3,6.6098
907.4,908.2,0.05,907.3,6.6079
907.4,907.9,8.177801,907.41,6.588
907.4,907.9,8.177801,907.2,1.29506537
907.4,907.9,5.260285,907.2,1.19158177
907.4,908.2,0.05,907.6,1.19390904
907.9,907.9,6.6072,907,0.25
907.2,908,8,907.4,6.6003
907.2,908.23,5,907.7,6.5982
907.9,908.2,1.252,907.2,1.252
907.7,908.1,5.63,907.7,0.68674469
908,908,3.251951,907.2,6.6038
908,908,3.251951,907.5,0.49701851
908,908,0.251951,907.2,6.599
907.3,908,0.251951,907.4,0.48478421
907.3,908,0.251951,907.4,0.48478421
907.3,908,0.251951,907.4,0.48478421
907.3,908,0.251951,907.4,0.48478421
908,908.1,5.614,908,0.48478421
907.2,908.1,1.354,907.2,6.55151565
907.2,908.1,8.48952097,907.3,6.9922814
907.2,907.9,1.596,907,0.39294851
907.8,907.8,1.56772734,907.1,0.39294851
907.8,907.7,6.6096,907.1,0.03294851
907.1,907.4,6.606,907.1,0.03294851
907.1,907.7,6.5976,907.1,0.03294851
907.1,907.7,6.5976,907.1,0.03294851
907.1,907.9,6.5891,907.1,0.03294851
907,907,6.6058,906.5,1.342
907,907,1.371,906.9,0.33652913
907,907,6.5838,906.5,0.54894638
907,907,1.36,906.7,0.48810562
906.4,907,6.6106,906.5,0.48943434
906.69,907,7.8436,906.7,0.52129047
906.69,907,13.694356,906.6,1.265
906.7,907,6.032,906.5,0.54998385
906.5,907,8.694356,906.6,0.52504632
906.5,907,8.694356,906.5,0.54861315
906.4,907,0.01,906.4,0.01261315
906.4,907,1.294,906.4,0.01261315
906.4,907,0.01,906.4,0.08009729
906.4,907,1.281,906.5,1.312
907,907,0.01,906.8,1.375
907,907,0.01,906.9,0.0794976
907,907,1.596,906.5,0.37418429
